origin_symbol,name,date,industry,symbol,board
600000,浦发银行,1999-11-10,,600000.SH,MAIN
600004,白云机场,2003-04-28,,600004.SH,MAIN
600006,东风股份,1999-07-27,,600006.SH,MAIN
600007,中国国贸,1999-03-12,,600007.SH,MAIN
600008,首创环保,2000-04-27,,600008.SH,MAIN
600009,上海机场,1998-02-18,,600009.SH,MAIN
600010,包钢股份,2001-03-09,,600010.SH,MAIN
600011,华能国际,2001-12-06,,600011.SH,MAIN
600012,皖通高速,2003-01-07,,600012.SH,MAIN
600015,华夏银行,2003-09-12,,600015.SH,MAIN
600016,民生银行,2000-12-19,,600016.SH,MAIN
600017,日照港,2006-10-17,,600017.SH,MAIN
600018,上港集团,2000-07-19,,600018.SH,MAIN
600019,宝钢股份,2000-12-12,,600019.SH,MAIN
600020,中原高速,2003-08-08,,600020.SH,MAIN
600021,上海电力,2003-10-29,,600021.SH,MAIN
600022,山东钢铁,2004-06-29,,600022.SH,MAIN
600023,浙能电力,2013-12-19,,600023.SH,MAIN
600025,华能水电,2017-12-15,,600025.SH,MAIN
600026,中远海能,2002-05-23,,600026.SH,MAIN
600027,华电国际,2005-02-03,,600027.SH,MAIN
600028,中国石化,2001-08-08,,600028.SH,MAIN
600029,南方航空,2003-07-25,,600029.SH,MAIN
600030,中信证券,2003-01-06,,600030.SH,MAIN
600031,三一重工,2003-07-03,,600031.SH,MAIN
600032,浙江新能,2021-05-25,,600032.SH,MAIN
600033,福建高速,2001-02-09,,600033.SH,MAIN
600035,楚天高速,2004-03-10,,600035.SH,MAIN
600036,XD招商银,2002-04-09,,600036.SH,MAIN
600037,歌华有线,2001-02-08,,600037.SH,MAIN
600038,中直股份,2000-12-18,,600038.SH,MAIN
600039,四川路桥,2003-03-25,,600039.SH,MAIN
600048,保利发展,2006-07-31,,600048.SH,MAIN
600050,中国联通,2002-10-09,,600050.SH,MAIN
600051,宁波联合,1997-04-10,,600051.SH,MAIN
600052,东望时代,1997-04-15,,600052.SH,MAIN
600053,九鼎投资,1997-04-18,,600053.SH,MAIN
600054,黄山旅游,1997-05-06,,600054.SH,MAIN
600055,万东医疗,1997-05-19,,600055.SH,MAIN
600056,中国医药,1997-05-15,,600056.SH,MAIN
600057,厦门象屿,1997-06-04,,600057.SH,MAIN
600058,五矿发展,1997-05-28,,600058.SH,MAIN
600059,古越龙山,1997-05-16,,600059.SH,MAIN
600060,海信视像,1997-04-22,,600060.SH,MAIN
600061,国投资本,1997-05-19,,600061.SH,MAIN
600062,华润双鹤,1997-05-22,,600062.SH,MAIN
600063,皖维高新,1997-05-28,,600063.SH,MAIN
600064,南京高科,1997-05-06,,600064.SH,MAIN
600066,宇通客车,1997-05-08,,600066.SH,MAIN
600067,冠城新材,1997-05-08,,600067.SH,MAIN
600071,凤凰光学,1997-05-28,,600071.SH,MAIN
600072,中船科技,1997-06-03,,600072.SH,MAIN
600073,光明肉业,1997-07-04,,600073.SH,MAIN
600075,新疆天业,1997-06-17,,600075.SH,MAIN
600076,康欣新材,1997-05-26,,600076.SH,MAIN
600078,澄星股份,1997-06-27,,600078.SH,MAIN
600079,ST人福,1997-06-06,,600079.SH,MAIN
600080,金花股份,1997-06-12,,600080.SH,MAIN
600081,东风科技,1997-07-03,,600081.SH,MAIN
600082,海泰发展,1997-06-20,,600082.SH,MAIN
600084,中信尼雅,1997-07-11,,600084.SH,MAIN
600085,同仁堂,1997-06-25,,600085.SH,MAIN
600088,中视传媒,1997-06-16,,600088.SH,MAIN
600089,特变电工,1997-06-18,,600089.SH,MAIN
600094,大名城,1997-07-03,,600094.SH,MAIN
600095,湘财股份,1997-07-08,,600095.SH,MAIN
600096,云天化,1997-07-09,,600096.SH,MAIN
600097,开创国际,1997-06-19,,600097.SH,MAIN
600098,广州发展,1997-07-18,,600098.SH,MAIN
600099,林海股份,1997-07-04,,600099.SH,MAIN
600100,同方股份,1997-06-27,,600100.SH,MAIN
600101,明星电力,1997-06-27,,600101.SH,MAIN
600103,青山纸业,1997-07-03,,600103.SH,MAIN
600104,上汽集团,1997-11-25,,600104.SH,MAIN
600105,永鼎股份,1997-09-29,,600105.SH,MAIN
600106,重庆路桥,1997-06-18,,600106.SH,MAIN
600107,ST尔雅,1997-11-06,,600107.SH,MAIN
600108,亚盛集团,1997-08-18,,600108.SH,MAIN
600109,国金证券,1997-08-07,,600109.SH,MAIN
600110,诺德股份,1997-10-07,,600110.SH,MAIN
600111,北方稀土,1997-09-24,,600111.SH,MAIN
600113,浙江东日,1997-10-21,,600113.SH,MAIN
600114,东睦股份,2004-05-11,,600114.SH,MAIN
600115,中国东航,1997-11-05,,600115.SH,MAIN
600116,三峡水利,1997-08-04,,600116.SH,MAIN
600117,西宁特钢,1997-10-15,,600117.SH,MAIN
600118,中国卫星,1997-09-08,,600118.SH,MAIN
600119,长江投资,1998-01-15,,600119.SH,MAIN
600120,浙江东方,1997-12-01,,600120.SH,MAIN
600121,郑州煤电,1998-01-07,,600121.SH,MAIN
600123,兰花科创,1998-12-17,,600123.SH,MAIN
600125,铁龙物流,1998-05-11,,600125.SH,MAIN
600126,杭钢股份,1998-03-11,,600126.SH,MAIN
600127,金健米业,1998-05-06,,600127.SH,MAIN
600128,苏豪弘业,1997-09-01,,600128.SH,MAIN
600129,太极集团,1997-11-18,,600129.SH,MAIN
600130,*ST波导,2000-07-06,,600130.SH,MAIN
600131,国网信通,1998-04-02,,600131.SH,MAIN
600132,重庆啤酒,1997-10-30,,600132.SH,MAIN
600133,东湖高新,1998-02-12,,600133.SH,MAIN
600135,乐凯胶片,1998-01-22,,600135.SH,MAIN
600136,ST明诚,1998-03-03,,600136.SH,MAIN
600137,浪莎股份,1998-04-16,,600137.SH,MAIN
600138,中青旅,1997-12-03,,600138.SH,MAIN
600141,兴发集团,1999-06-16,,600141.SH,MAIN
600143,金发科技,2004-06-23,,600143.SH,MAIN
600148,长春一东,1998-05-20,,600148.SH,MAIN
600149,廊坊发展,1999-10-14,,600149.SH,MAIN
600150,中国船舶,1998-05-20,,600150.SH,MAIN
600151,航天机电,1998-06-05,,600151.SH,MAIN
600152,维科技术,1998-06-09,,600152.SH,MAIN
600153,建发股份,1998-06-16,,600153.SH,MAIN
600155,华创云信,1998-09-18,,600155.SH,MAIN
600156,华升股份,1998-05-27,,600156.SH,MAIN
600157,永泰能源,1998-05-13,,600157.SH,MAIN
600158,中体产业,1998-03-27,,600158.SH,MAIN
600159,大龙地产,1998-05-26,,600159.SH,MAIN
600160,巨化股份,1998-06-26,,600160.SH,MAIN
600161,天坛生物,1998-06-16,,600161.SH,MAIN
600162,香江控股,1998-06-09,,600162.SH,MAIN
600163,中闽能源,1998-06-02,,600163.SH,MAIN
600165,ST宁科,1998-05-29,,600165.SH,MAIN
600166,福田汽车,1998-06-02,,600166.SH,MAIN
600167,联美控股,1999-01-28,,600167.SH,MAIN
600168,武汉控股,1998-04-27,,600168.SH,MAIN
600169,ST太重,1998-09-04,,600169.SH,MAIN
600170,上海建工,1998-06-23,,600170.SH,MAIN
600171,上海贝岭,1998-09-24,,600171.SH,MAIN
600172,黄河旋风,1998-11-26,,600172.SH,MAIN
600173,卧龙新能,1999-04-15,,600173.SH,MAIN
600176,中国巨石,1999-04-22,,600176.SH,MAIN
600177,雅戈尔,1998-11-19,,600177.SH,MAIN
