symbol,name_cn,exchange,currency,lot_size,total_shares,circulating_shares,hk_shares,eps,eps_ttm,bps,dividend_yield,stock_derivatives,board
600000.SH,浦发银行,SSE,CNY,100,33305838300,33305838300,0,1.52,1.4667998913571858,21.04754108531176,0.3725997981377938,[],SHMainConnect
600004.SH,白云机场,SSE,CNY,100,2577244598,2366718283,0,0.39,0.5252581659616306,8.011322276082232,0.1441752058451691,[],SHMainConnect
600006.SH,东风股份,SSE,CNY,100,2000000000,2000000000,0,0.0146,0.122670579395,4.18396703965,0.005,[],SHMainConnect
600007.SH,中国国贸,SSE,CNY,100,1007282534,1007282534,0,1.25,1.175544541905062,9.416817795234401,1.099999999602892,[],SHMainConnect
600008.SH,首创环保,SSE,CNY,100,7340590677,7340590677,0,0.4806,0.2324035882187632,2.845499339758377,0.21,[],SHMainConnect
600009.SH,上海机场,SSE,CNY,100,2488313040,2046279515,0,0.78,0.9509812582543875,16.89704823266529,0.5100049085423753,[],SHMainConnect
600010.SH,包钢股份,SSE,CNY,100,45288619348,31380798287,0,0.0058,0.0223819296607629,1.1499157938940312,0.002,[],SHMainConnect
600011.SH,华能国际,SSE,CNY,100,15698093359,10997709919,0,0.459359,0.9277230768697456,4.25875918629769,0.27,[],SHMainConnect
600012.SH,皖通高速,SSE,CNY,100,1708591889,1165600000,0,1.006252,1.0213327945980901,7.279389402959995,0.6040000000023411,[],SHMainConnect
600015.SH,华夏银行,SSE,CNY,100,15914928468,15387223983,0,1.61709,1.7057569598621962,19.388651392334992,0.405,[],SHMainConnect
600016.SH,民生银行,SSE,CNY,100,43782418502,35462123213,0,0.639075,0.6932463084151806,12.834421195218605,0.197999999999863,[],SHMainConnect
600017.SH,日照港,SSE,CNY,100,3075653888,3075653888,0,0.21,0.1770201060672793,4.5692882061474664,0.1189999999993497,[],SHMainConnect
600018.SH,上港集团,SSE,CNY,100,23279960504,23246718350,0,0.6436,0.6192579371366617,6.014878565187878,0.195008749581425,[],SHMainConnect
600019.SH,宝钢股份,SSE,CNY,100,21782084749,21782084749,0,0.341651,0.4333484252641772,9.376996183768728,0.2164928031260411,[],SHMainConnect
600020.SH,中原高速,SSE,CNY,100,2247371832,2247371832,0,0.3352,0.4532100745000349,5.289698019869103,0.17,[],SHMainConnect
600021.SH,上海电力,SSE,CNY,100,2821234945,2821234945,0,0.6172,0.934675244790717,7.489698573710953,0.2795542505234352,[],SHMainConnect
600022.SH,山东钢铁,SSE,CNY,100,10698849554,10698849554,0,-0.2129,-0.0623435346560814,1.7636981788191617,0.0,[],SHMainConnect
600023.SH,浙能电力,SSE,CNY,100,13408732749,13408732749,0,0.58,0.5434967268374781,5.598347223823843,0.34,[],SHMainConnect
600025.SH,华能水电,SSE,CNY,100,18631094257,18000000000,0,0.44,0.4621702924553027,3.687400199448199,0.1932253656355918,[],SHMainConnect
